"22","23","24","25"
"22","25","26","27"
"16","25","26","27"
"15","16","17","18"
"16","17","18","27"
"22","23","24","27"
"24","25","26","27"
"18","25","26","27"
"15","16","17","18"
"16","17","18","27"
"10","11","12","13"
"10","11","12","19"
"10","19","20","21"
"19","20","21","22"
"19","22","23","24"
"10","11","12","21"
"10","11","12","15"
"12","19","20","21"
"19","20","21","24"
"21","22","23","24"
"4","5","6","7"
"13","16","17","18"
"7","16","17","18"
"6","7","8","9"
"7","8","9","18"
"4","5","6","9"
"15","16","17","18"
"9","16","17","18"
"6","7","8","9"
"7","8","9","18"
"1","2","3","4"
"1","2","3","10"
"1","10","11","12"
"10","11","12","13"
"3","4","5","6"
"1","2","3","12"
"1","2","3","6"
"3","10","11","12"
"10","11","12","15"
"1","2","4","7"
"1","4","7","10"
"1","10","13","16"
"10","11","13","16"
"1","2","5","8"
"1","4","7","8"
"1","4","7","16"
"7","10","13","16"
"10","13","16","17"
"2","5","7","8"
"2","3","5","8"
"11","12","15","18"
"3","12","15","18"
"3","6","9","12"
"2","3","6","9"
"2","5","8","9"
"12","15","17","18"
"9","12","15","18"
"3","6","8","9"
"3","6","9","18"
"20","21","23","26"
"20","21","24","27"
"12","21","24","27"
"12","15","18","21"
"11","12","15","18"
"20","23","26","27"
"21","24","26","27"
"18","21","24","27"
"12","15","17","18"
"12","15","18","27"
"10","11","13","16"
"10","13","16","19"
"10","19","22","25"
"19","20","22","25"
"19","20","23","26"
"10","13","16","17"
"10","13","16","25"
"16","19","22","25"
"19","22","25","26"
"20","23","25","26"
"1","2","10","19"
"1","4","10","19"
"1","2","11","20"
"1","4","13","22"
"1","10","19","20"
"1","10","19","22"
"2","11","19","20"
"4","13","19","22"
"2","3","11","20"
"3","6","15","24"
"2","3","12","21"
"3","6","12","21"
"2","11","20","21"
"6","15","21","24"
"3","12","20","21"
"3","12","21","24"
"4","7","13","22"
"7","8","17","26"
"4","7","16","25"
"7","8","16","25"
"4","13","22","25"
"8","17","25","26"
"7","16","22","25"
"7","16","25","26"
"6","9","18","27"
"8","9","18","27"
"6","9","15","24"
"8","9","17","26"
"9","18","24","27"
"9","18","26","27"
"6","15","24","27"
"8","17","26","27"
